TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,玩家位置X,玩家位置Y,玩家位置Z,玩家旋转X,玩家旋转Y,玩家旋转Z,玩家旋转W
2025-06-04_20:49:54.6014,Cube (8),3.1001,0.9990,0.0670,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7683,0.8660,4.1838,1.4298,-0.0836,-0.0996,0.7653,-0.2521,-0.5839
2025-06-04_20:49:54.6120,Cube (8),3.1000,1.0000,0.1040,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7805,0.9142,4.1827,1.4294,-0.0817,-0.1031,0.7559,-0.2537,-0.5947
2025-06-04_20:49:54.6236,Cube (8),3.1000,1.0000,0.1028,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8288,0.9561,4.1817,1.4290,-0.0799,-0.1049,0.7477,-0.2551,-0.6040
2025-06-04_20:49:54.6342,Cube (8),3.1000,0.9975,0.1305,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8288,0.9561,4.1806,1.4289,-0.0782,-0.1074,0.7398,-0.2555,-0.6130
2025-06-04_20:49:54.6456,Cube (8),3.1000,0.9885,0.1220,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8615,0.9719,4.1796,1.4286,-0.0768,-0.1097,0.7330,-0.2553,-0.6209
2025-06-04_20:49:54.6608,Cube (8),3.1000,0.9806,0.1112,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8615,0.9719,4.1786,1.4286,-0.0753,-0.1115,0.7267,-0.2549,-0.6281
2025-06-04_20:49:54.6668,Cube (8),3.1000,0.9743,0.1040,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9437,0.9908,4.1776,1.4284,-0.0741,-0.1133,0.7207,-0.2542,-0.6349
2025-06-04_20:49:54.6784,Cube (8),3.1000,0.9738,0.1242,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9437,0.9908,4.1766,1.4282,-0.0728,-0.1145,0.7148,-0.2543,-0.6414
2025-06-04_20:49:54.6905,Cube (8),3.1000,0.9654,0.1131,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9437,0.9908,4.1757,1.4281,-0.0716,-0.1163,0.7090,-0.2539,-0.6476
2025-06-04_20:49:54.7011,Cube (8),3.1000,0.9452,0.0578,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9550,0.9926,4.1748,1.4277,-0.0705,-0.1187,0.7031,-0.2539,-0.6536
2025-06-04_20:49:54.7111,Cube (8),3.1000,0.9415,0.0734,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9550,0.9926,4.1741,1.4273,-0.0696,-0.1211,0.6981,-0.2541,-0.6583
2025-06-04_20:49:54.7239,Cube (8),3.1000,0.9376,0.0910,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9640,0.9953,4.1732,1.4270,-0.0685,-0.1234,0.6926,-0.2545,-0.6636
2025-06-04_20:49:54.7460,Cube (8),3.1000,0.9174,0.0534,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9640,0.9970,4.1718,1.4259,-0.0669,-0.1270,0.6840,-0.2558,-0.6712
2025-06-04_20:49:54.7566,Cube (8),3.1000,0.9062,0.0399,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9640,0.9976,4.1709,1.4254,-0.0661,-0.1304,0.6793,-0.2559,-0.6753
2025-06-04_20:49:54.7683,Cube (8),3.1000,0.8999,0.0372,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9770,0.9985,4.1703,1.4251,-0.0652,-0.1309,0.6745,-0.2577,-0.6793
2025-06-04_20:49:54.7790,Cube (8),3.1000,0.8826,-0.0019,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9853,0.9990,4.1697,1.4243,-0.0646,-0.1349,0.6696,-0.2583,-0.6831
2025-06-04_20:49:54.7898,Cube (8),3.1000,0.8738,0.0107,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9853,0.9990,4.1691,1.4238,-0.0637,-0.1401,0.6649,-0.2581,-0.6868
2025-06-04_20:49:54.8015,Cube (8),3.1000,0.8650,0.0139,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9853,0.9990,4.1686,1.4229,-0.0631,-0.1426,0.6603,-0.2596,-0.6901
2025-06-04_20:49:54.8163,Cube (8),3.1000,0.8601,0.0336,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9924,0.9995,4.1680,1.4221,-0.0625,-0.1446,0.6558,-0.2613,-0.6934
2025-06-04_20:49:54.8239,Cube (8),3.1000,0.8631,0.1051,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9952,0.9997,4.1675,1.4215,-0.0618,-0.1489,0.6517,-0.2617,-0.6962
2025-06-04_20:49:54.8338,Cube (8),3.1000,0.8547,0.1177,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9952,0.9997,4.1668,1.4206,-0.0611,-0.1519,0.6472,-0.2628,-0.6992
